Entity,Code,Year,Fossil fuels (% growth)
Africa,,1966,4.297184944152832
Africa,,1967,0.8081912994384766
Africa,,1968,4.85769510269165
Africa,,1969,1.702439785003662
Africa,,1970,7.141220569610596
Africa,,1971,8.015990257263184
Africa,,1972,5.093932151794434
Africa,,1973,8.550655364990234
Africa,,1974,3.9854884147644043
Africa,,1975,6.084907054901123
Africa,,1976,8.49245834350586
Africa,,1977,5.061197280883789
Africa,,1978,4.164421558380127
Africa,,1979,9.152900695800781
Africa,,1980,8.456826210021973
Africa,,1981,12.950873374938965
Africa,,1982,7.14954137802124
Africa,,1983,4.053997993469238
Africa,,1984,2.8464317321777344
Africa,,1985,3.419613838195801
Africa,,1986,1.6458392143249512
Africa,,1987,4.107415676116943
Africa,,1988,6.431877613067627
Africa,,1989,-0.1651167869567871
Africa,,1990,3.762662410736084
Africa,,1991,-0.6046056747436523
Africa,,1992,1.9351601600646973
Africa,,1993,0.5634665489196777
Africa,,1994,3.397369384765625
Africa,,1995,4.01606559753418
Africa,,1996,2.3729443550109863
Africa,,1997,1.9303083419799805
Africa,,1998,1.233530044555664
Africa,,1999,3.025329113006592
Africa,,2000,1.953446865081787
Africa,,2001,3.4780502319335938
Africa,,2002,1.3461589813232422
Africa,,2003,5.485272407531738
Africa,,2004,7.234680652618408
Africa,,2005,0.3735542297363281
Africa,,2006,1.9842267036437988
Africa,,2007,3.785431385040283
Africa,,2008,6.321275234222412
Africa,,2009,1.5758633613586426
Africa,,2010,2.7217626571655273
Africa,,2011,0.7347226142883301
Africa,,2012,4.106485843658447
Africa,,2013,2.5338172912597656
Africa,,2014,2.445220947265625
Africa,,2015,2.5187134742736816
Africa,,2016,2.673935890197754
Africa,,2017,2.0805001258850098
Africa,,2018,2.008485794067383
Africa,,2019,1.5797734260559082
Africa,,2020,-6.705355644226074
Africa,,2021,6.188654899597168
Africa (BP),,1966,4.297184944152832
Africa (BP),,1967,0.8081912994384766
Africa (BP),,1968,4.85769510269165
Africa (BP),,1969,1.7024517059326172
Africa (BP),,1970,7.141208648681641
Africa (BP),,1971,8.015990257263184
Africa (BP),,1972,5.093932151794434
Africa (BP),,1973,8.550655364990234
Africa (BP),,1974,3.9854884147644043
Africa (BP),,1975,6.084907054901123
Africa (BP),,1976,8.49245834350586
Africa (BP),,1977,5.061197280883789
Africa (BP),,1978,4.164421558380127
Africa (BP),,1979,9.152900695800781
Africa (BP),,1980,8.456826210021973
Africa (BP),,1981,12.950873374938965
Africa (BP),,1982,7.14954137802124
Africa (BP),,1983,4.053997993469238
Africa (BP),,1984,2.8464436531066895
Africa (BP),,1985,3.419613838195801
Africa (BP),,1986,1.6458392143249512
Africa (BP),,1987,4.107415676116943
Africa (BP),,1988,6.431877613067627
Africa (BP),,1989,-0.1651167869567871
Africa (BP),,1990,3.762662410736084
Africa (BP),,1991,-0.6046056747436523
Africa (BP),,1992,1.9351601600646973
Africa (BP),,1993,0.5634665489196777
Africa (BP),,1994,3.397369384765625
Africa (BP),,1995,4.01606559753418
Africa (BP),,1996,2.3729443550109863
Africa (BP),,1997,1.9302964210510254
Africa (BP),,1998,1.233530044555664
Africa (BP),,1999,3.025341033935547
Africa (BP),,2000,1.953446865081787
Africa (BP),,2001,3.4780502319335938
Africa (BP),,2002,1.3461589813232422
Africa (BP),,2003,5.485284328460693
Africa (BP),,2004,7.234668731689453
Africa (BP),,2005,0.3735661506652832
Africa (BP),,2006,1.9842147827148438
Africa (BP),,2007,3.785431385040283
Africa (BP),,2008,6.321263313293457
Africa (BP),,2009,1.5758752822875977
Africa (BP),,2010,2.7217626571655273
Africa (BP),,2011,0.7347226142883301
Africa (BP),,2012,4.106473922729492
Africa (BP),,2013,2.5338292121887207
Africa (BP),,2014,2.445220947265625
Africa (BP),,2015,2.5187134742736816
Africa (BP),,2016,2.673935890197754
Africa (BP),,2017,2.0805001258850098
Africa (BP),,2018,2.008485794067383
Africa (BP),,2019,1.5797734260559082
Africa (BP),,2020,-6.705355644226074
Africa (BP),,2021,6.188654899597168
Algeria,DZA,1966,21.703922271728516
Algeria,DZA,1967,-6.072229385375977
Algeria,DZA,1968,6.085300445556641
Algeria,DZA,1969,13.219976425170898
Algeria,DZA,1970,7.921135425567627
Algeria,DZA,1971,10.595846176147461
Algeria,DZA,1972,11.42270565032959
Algeria,DZA,1973,18.161487579345703
Algeria,DZA,1974,12.566447257995605
Algeria,DZA,1975,20.822811126708984
Algeria,DZA,1976,16.645658493041992
Algeria,DZA,1977,10.45724105834961
Algeria,DZA,1978,25.951444625854492
Algeria,DZA,1979,31.128395080566406
Algeria,DZA,1980,19.436168670654297
Algeria,DZA,1981,21.385801315307617
Algeria,DZA,1982,15.222417831420898
Algeria,DZA,1983,9.556734085083008
Algeria,DZA,1984,-4.222470283508301
Algeria,DZA,1985,0.5897879600524902
Algeria,DZA,1986,6.2848687171936035
Algeria,DZA,1987,2.5081276893615723
Algeria,DZA,1988,7.468688488006592
Algeria,DZA,1989,-2.7816414833068848
Algeria,DZA,1990,6.13175630569458
Algeria,DZA,1991,-1.063615083694458
Algeria,DZA,1992,2.7021169662475586
Algeria,DZA,1993,-7.0977983474731445
Algeria,DZA,1994,1.5083551406860352
Algeria,DZA,1995,3.6970019340515137
Algeria,DZA,1996,-0.9753227233886719
Algeria,DZA,1997,-3.840559720993042
Algeria,DZA,1998,3.3850550651550293
Algeria,DZA,1999,1.0141611099243164
Algeria,DZA,2000,-3.554302453994751
Algeria,DZA,2001,3.610670566558838
Algeria,DZA,2002,3.597414493560791
Algeria,DZA,2003,4.4655442237854
Algeria,DZA,2004,3.8378119468688965
Algeria,DZA,2005,4.476940631866455
Algeria,DZA,2006,3.8168787956237793
Algeria,DZA,2007,5.388212203979492
Algeria,DZA,2008,5.955111980438232
Algeria,DZA,2009,5.947220325469971
Algeria,DZA,2010,-2.1019577980041504
Algeria,DZA,2011,5.679965019226074
Algeria,DZA,2012,9.308778762817383
Algeria,DZA,2013,5.941784381866455
Algeria,DZA,2014,8.999908447265625
Algeria,DZA,2015,5.469954013824463
Algeria,DZA,2016,-0.13357996940612793
Algeria,DZA,2017,0.99945068359375
Algeria,DZA,2018,7.581520080566406
Algeria,DZA,2019,3.4964799880981445
Algeria,DZA,2020,-5.827146530151367
Algeria,DZA,2021,4.6486616134643555
Argentina,ARG,1966,3.26235294342041
Argentina,ARG,1967,2.911543846130371
Argentina,ARG,1968,3.225839138031006
Argentina,ARG,1969,3.51409912109375
Argentina,ARG,1970,-5.48526668548584
Argentina,ARG,1971,6.102573871612549
Argentina,ARG,1972,1.2921452522277832
Argentina,ARG,1973,3.3874869346618652
Argentina,ARG,1974,1.782059669494629
Argentina,ARG,1975,-3.5608768463134766
Argentina,ARG,1976,5.2712321281433105
Argentina,ARG,1977,4.790246486663818
Argentina,ARG,1978,-2.0907580852508545
Argentina,ARG,1979,5.960512161254883
Argentina,ARG,1980,-3.4440934658050537
Argentina,ARG,1981,-3.3168554306030273
Argentina,ARG,1982,0.6170272827148438
Argentina,ARG,1983,3.1225204467773438
Argentina,ARG,1984,-1.5201210975646973
Argentina,ARG,1985,-2.736055850982666
Argentina,ARG,1986,6.5013885498046875
Argentina,ARG,1987,4.246199131011963
Argentina,ARG,1988,6.783604621887207
Argentina,ARG,1989,-2.28995680809021
Argentina,ARG,1990,-6.036228179931641
Argentina,ARG,1991,2.8263449668884277
Argentina,ARG,1992,6.6704630851745605
Argentina,ARG,1993,0.646817684173584
Argentina,ARG,1994,3.9449691772460938
Argentina,ARG,1995,4.965269565582275
Argentina,ARG,1996,7.42802619934082
Argentina,ARG,1997,-1.7199575901031494
Argentina,ARG,1998,5.2335381507873535
Argentina,ARG,1999,3.9656996726989746
Argentina,ARG,2000,-2.643883228302002
Argentina,ARG,2001,-6.983059883117676
Argentina,ARG,2002,-3.977036476135254
Argentina,ARG,2003,8.937799453735352
Argentina,ARG,2004,9.147334098815918
Argentina,ARG,2005,6.05921745300293
Argentina,ARG,2006,4.051673412322998
Argentina,ARG,2007,8.232855796813965
Argentina,ARG,2008,1.4865756034851074
Argentina,ARG,2009,-4.621374607086182
Argentina,ARG,2010,4.304862022399902
Argentina,ARG,2011,4.00235652923584
Argentina,ARG,2012,4.860568046569824
Argentina,ARG,2013,3.2988429069519043
Argentina,ARG,2014,-0.19122958183288574
Argentina,ARG,2015,1.4336347579956055
Argentina,ARG,2016,-0.007528066635131836
Argentina,ARG,2017,-0.3634154796600342
Argentina,ARG,2018,-1.4405786991119385
Argentina,ARG,2019,-6.4999284744262695
Argentina,ARG,2020,-6.479024887084961
Argentina,ARG,2021,9.574831008911133
Asia,,1966,8.857512474060059
Asia,,1967,5.6591033935546875
Asia,,1968,7.673454284667969
Asia,,1969,14.377391815185547
Asia,,1970,13.875019073486328
Asia,,1971,9.712732315063477
Asia,,1972,6.4087629318237305
Asia,,1973,9.233724594116211
Asia,,1974,1.4580011367797852
Asia,,1975,3.2834529876708984
Asia,,1976,5.749189853668213
Asia,,1977,7.305335998535156
Asia,,1978,6.365036964416504
Asia,,1979,5.220580101013184
Asia,,1980,-0.44232606887817383
Asia,,1981,1.0438203811645508
Asia,,1982,1.9622325897216797
Asia,,1983,5.06516695022583
Asia,,1984,8.074701309204102
Asia,,1985,16.714906692504883
Asia,,1986,4.274344444274902
Asia,,1987,5.402171611785889
Asia,,1988,7.027685642242432
Asia,,1989,4.934883117675781
Asia,,1990,3.8208603858947754
Asia,,1991,3.970658779144287
Asia,,1992,4.772472381591797
Asia,,1993,3.582334518432617
Asia,,1994,5.407261848449707
Asia,,1995,3.916311264038086
Asia,,1996,4.630470275878906
Asia,,1997,2.8981924057006836
Asia,,1998,-0.3058969974517822
Asia,,1999,3.610861301422119
Asia,,2000,3.998100757598877
Asia,,2001,3.368985652923584
Asia,,2002,5.194365978240967
Asia,,2003,8.82868766784668
Asia,,2004,9.09172248840332
Asia,,2005,7.741844654083252
Asia,,2006,5.644595623016357
Asia,,2007,6.564569473266602
Asia,,2008,2.9308199882507324
Asia,,2009,2.3778438568115234
Asia,,2010,6.0395121574401855
Asia,,2011,5.950558185577393
Asia,,2012,3.605318069458008
Asia,,2013,2.076840400695801
Asia,,2014,2.243220806121826
Asia,,2015,1.4504790306091309
Asia,,2016,1.6878128051757812
Asia,,2017,2.6001811027526855
Asia,,2018,2.9389142990112305
Asia,,2019,1.4418721199035645
Asia,,2020,-2.213406562805176
Asia,,2021,5.374002456665039
Asia Pacific (BP),,1966,8.960533142089844
Asia Pacific (BP),,1967,5.691027641296387
Asia Pacific (BP),,1968,7.556641101837158
Asia Pacific (BP),,1969,14.418911933898926
Asia Pacific (BP),,1970,14.300918579101562
Asia Pacific (BP),,1971,9.413933753967285
Asia Pacific (BP),,1972,6.128346920013428
Asia Pacific (BP),,1973,8.827424049377441
Asia Pacific (BP),,1974,1.310110092163086
Asia Pacific (BP),,1975,3.392624855041504
Asia Pacific (BP),,1976,4.937899112701416
Asia Pacific (BP),,1977,6.470131874084473
Asia Pacific (BP),,1978,6.2206268310546875
Asia Pacific (BP),,1979,4.081118106842041
Asia Pacific (BP),,1980,-0.13536810874938965
Asia Pacific (BP),,1981,0.21123886108398438
Asia Pacific (BP),,1982,0.6303071975708008
Asia Pacific (BP),,1983,3.819751739501953
Asia Pacific (BP),,1984,7.134091854095459
Asia Pacific (BP),,1985,4.19691801071167
Asia Pacific (BP),,1986,4.084444046020508
Asia Pacific (BP),,1987,5.511772632598877
Asia Pacific (BP),,1988,7.709670066833496
Asia Pacific (BP),,1989,5.170583724975586
Asia Pacific (BP),,1990,4.134869575500488
Asia Pacific (BP),,1991,4.59134578704834
Asia Pacific (BP),,1992,5.139648914337158
Asia Pacific (BP),,1993,4.810237884521484
Asia Pacific (BP),,1994,5.613315105438232
Asia Pacific (BP),,1995,4.6761393547058105
Asia Pacific (BP),,1996,5.120456218719482
Asia Pacific (BP),,1997,3.011476993560791
Asia Pacific (BP),,1998,-0.7735133171081543
Asia Pacific (BP),,1999,4.065394401550293
Asia Pacific (BP),,2000,3.844273090362549
Asia Pacific (BP),,2001,3.1376004219055176
Asia Pacific (BP),,2002,5.212914943695068
Asia Pacific (BP),,2003,9.57939624786377
Asia Pacific (BP),,2004,9.295928955078125
Asia Pacific (BP),,2005,8.100021362304688
Asia Pacific (BP),,2006,5.776965618133545
Asia Pacific (BP),,2007,6.587469577789307
Asia Pacific (BP),,2008,2.2437095642089844
Asia Pacific (BP),,2009,2.3944616317749023
Asia Pacific (BP),,2010,5.958712100982666
Asia Pacific (BP),,2011,5.8969855308532715
Asia Pacific (BP),,2012,3.3872008323669434
Asia Pacific (BP),,2013,2.1268606185913086
Asia Pacific (BP),,2014,1.8424034118652344
Asia Pacific (BP),,2015,1.2045025825500488
Asia Pacific (BP),,2016,1.4210820198059082
Asia Pacific (BP),,2017,2.5714635848999023
Asia Pacific (BP),,2018,3.02431583404541
Asia Pacific (BP),,2019,1.7199397087097168
Asia Pacific (BP),,2020,-2.2576510906219482
Asia Pacific (BP),,2021,5.389666557312012
Australia,AUS,1966,5.322146415710449
Australia,AUS,1967,6.1872124671936035
Australia,AUS,1968,6.139278411865234
Australia,AUS,1969,3.8904309272766113
Australia,AUS,1970,8.740782737731934
Australia,AUS,1971,4.589605331420898
Australia,AUS,1972,4.80501651763916
Australia,AUS,1973,6.921660900115967
Australia,AUS,1974,5.94332218170166
Australia,AUS,1975,1.3158321380615234
Australia,AUS,1976,4.035615921020508
Australia,AUS,1977,5.506563186645508
Australia,AUS,1978,2.95257568359375
Australia,AUS,1979,4.083132743835449
Australia,AUS,1980,0.6725430488586426
Australia,AUS,1981,1.5318989753723145
Australia,AUS,1982,-0.6120264530181885
Australia,AUS,1983,-3.3061444759368896
Australia,AUS,1984,3.634631633758545
Australia,AUS,1985,2.794063091278076
Australia,AUS,1986,2.0445942878723145
Australia,AUS,1987,3.2235145568847656
Australia,AUS,1988,4.4693708419799805
Australia,AUS,1989,5.292046070098877
Australia,AUS,1990,2.0304083824157715
Australia,AUS,1991,-1.0421156883239746
Australia,AUS,1992,1.6554713249206543
Australia,AUS,1993,2.0706892013549805
Australia,AUS,1994,4.142880439758301
Australia,AUS,1995,4.73179817199707
Australia,AUS,1996,2.9348254203796387
Australia,AUS,1997,2.5506138801574707
Australia,AUS,1998,2.5012850761413574
Australia,AUS,1999,4.124629497528076
Australia,AUS,2000,0.6309032440185547
Australia,AUS,2001,0.8997321128845215
Australia,AUS,2002,1.9395828247070312
Australia,AUS,2003,1.3366222381591797
Australia,AUS,2004,3.179287910461426
Australia,AUS,2005,0.1306772232055664
Australia,AUS,2006,4.376184940338135
Australia,AUS,2007,2.6764392852783203
Australia,AUS,2008,2.0111083984375
Australia,AUS,2009,-1.6938626766204834
Australia,AUS,2010,-0.4551410675048828
Australia,AUS,2011,1.613461971282959
Australia,AUS,2012,-1.4697372913360596
Australia,AUS,2013,0.38188695907592773
Australia,AUS,2014,1.2755155563354492
Australia,AUS,2015,2.002120018005371
Australia,AUS,2016,-0.563967227935791
Australia,AUS,2017,0.1177668571472168
Australia,AUS,2018,-0.3735959529876709
Australia,AUS,2019,2.9014110565185547
Australia,AUS,2020,-7.07017183303833
Australia,AUS,2021,-2.6911556720733643
Austria,AUT,1966,3.6187291145324707
Austria,AUT,1967,0.6480932235717773
Austria,AUT,1968,8.402336120605469
Austria,AUT,1969,7.492315769195557
Austria,AUT,1970,10.843586921691895
Austria,AUT,1971,6.3555121421813965
Austria,AUT,1972,3.6190390586853027
Austria,AUT,1973,6.645369529724121
Austria,AUT,1974,-3.9634883403778076
Austria,AUT,1975,-2.3637354373931885
